#############################################;;;;;;;;;;;;;;x
###################Triggered Modifiers;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
0_trade_ports;We have no Trade Ports;;;;;;;;;;;;;;x
1_trade_ports;1 Trade Port obtained;;;;;;;;;;;;;;x
2_trade_ports;2 Trade Ports obtained;;;;;;;;;;;;;;x
3_trade_ports;3 Trade Ports obtained;;;;;;;;;;;;;;x
4_trade_ports;4 Trade Ports obtained;;;;;;;;;;;;;;x
5_trade_ports;5 Trade Ports obtained;;;;;;;;;;;;;;x
6_trade_ports;6 Trade Ports obtained;;;;;;;;;;;;;;x
7_trade_ports;7 Trade Ports obtained;;;;;;;;;;;;;;x
8_trade_ports;8 Trade Ports obtained;;;;;;;;;;;;;;x
9_trade_ports;9 Trade Ports obtained;;;;;;;;;;;;;;x
10_trade_ports;10 Trade Ports obtained;;;;;;;;;;;;;;x
11_trade_ports;11 Trade Ports obtained;;;;;;;;;;;;;;x
12_trade_ports;12 Trade Ports obtained;;;;;;;;;;;;;;x
13_trade_ports;13 Trade Ports obtained;;;;;;;;;;;;;;x
14_trade_ports;14 Trade Ports obtained;;;;;;;;;;;;;;x
15_trade_ports;15 Trade Ports obtained;;;;;;;;;;;;;;x
16_trade_ports;16 Trade Ports obtained;;;;;;;;;;;;;;x
17_trade_ports;17 Trade Ports obtained;;;;;;;;;;;;;;x
18_trade_ports;18 Trade Ports obtained;;;;;;;;;;;;;;x
19_trade_ports;19 Trade Ports obtained;;;;;;;;;;;;;;x
20_trade_ports;§RMAXIMUM Ports obtained;;;;;;;;;;;;;;x
