#############################################;;;;;;;;;;;;;;x
#Ferrum Mare Provinces;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
####################################################################Forse+Elyase;;;;;;;;;;;;;;x
PROV1;Aforen;;;;;;;;;;;x;;;;
PROV2;Elrethdor;;;;;;;;;;;x;;;;
PROV3;Mirennor;;;;;;;;;;;x;;;;
PROV4;Lys;;;;;;;;;;;x;;;;
PROV5;Selorin;;;;;;;;;;;x;;;;
PROV6;Kelnorker;;;;;;;;;;;x;;;;
PROV7;Alen;;;;;;;;;;;x;;;;
PROV8;Haleneth;;;;;;;;;;;x;;;;
PROV9;Arnes;;;;;;;;;;;x;;;;
PROV10;Loryndor;;;;;;;;;;;x;;;;
PROV12;Elor;;;;;;;;;;;x;;;;
PROV11;Foransel;;;;;;;;;;;x;;;;
PROV13;Dalsor;;;;;;;;;;;x;;;;
PROV14;Elyr;;;;;;;;;;;x;;;;
PROV15;Halryneth;;;;;;;;;;;x;;;;
PROV21;Lorse;;;;;;;;;;;x;;;;
PROV26;Orsel;;;;;;;;;;;x;;;;
PROV30;Noren;;;;;;;;;;;x;;;;
PROV29;Kersel;;;;;;;;;;;x;;;;
PROV31;Elinorsel;;;;;;;;;;;x;;;;
PROV32;Horys;;;;;;;;;;;x;;;;
PROV35;Daloren;;;;;;;;;;;x;;;;
PROV27;Lysen;;;;;;;;;;;x;;;;
PROV23;Talenor;;;;;;;;;;;x;;;;
PROV25;Selor;;;;;;;;;;;x;;;;
PROV34;Aforandor;;;;;;;;;;;x;;;;
PROV112;Lethen;;;;;;;;;;;x;;;;
PROV22;Mirsel;;;;;;;;;;;x;;;;
PROV24;Arlyn;;;;;;;;;;;x;;;;
PROV17;Elren;;;;;;;;;;;x;;;;
PROV16;Halor;;;;;;;;;;;x;;;;
PROV19;Karethker;;;;;;;;;;;x;;;;
PROV20;Alensel;;;;;;;;;;;x;;;;
PROV18;Orel;;;;;;;;;;;x;;;;
PROV115;Norsel;;;;;;;;;;;x;;;;
PROV111;Relen;;;;;;;;;;;x;;;;
PROV113;Dorel;;;;;;;;;;;x;;;;
PROV118;Lethrynnor;;;;;;;;;;;x;;;;
PROV101;Selretheth;;;;;;;;;;;x;;;;
PROV104;Foran;;;;;;;;;;;x;;;;
PROV103;Elrethen;;;;;;;;;;;x;;;;
PROV102;Karel;;;;;;;;;;;x;;;;
PROV116;Arselor;;;;;;;;;;;x;;;;
PROV114;Mirathmir;;;;;;;;;;;x;;;;
PROV33;Ylen;;;;;;;;;;;x;;;;
PROV163;Talenen;;;;;;;;;;;x;;;;
PROV162;Elsenor;;;;;;;;;;;x;;;;
PROV164;Lysorhal;;;;;;;;;;;x;;;;
PROV117;Horyn;;;;;;;;;;;x;;;;
PROV161;Talsel;;;;;;;;;;;x;;;;
PROV165;Kelnoren;;;;;;;;;;;x;;;;
PROV120;Arthel;;;;;;;;;;;x;;;;
PROV127;Miror;;;;;;;;;;;x;;;;
PROV126;Elreth;;;;;;;;;;;x;;;;
PROV119;Arselen;;;;;;;;;;;x;;;;
PROV105;Haloren;;;;;;;;;;;x;;;;
PROV128;Kerethker;;;;;;;;;;;x;;;;
PROV130;Lysar;;;;;;;;;;;x;;;;
PROV129;Helordor;;;;;;;;;;;x;;;;
