#############################################;;;;;;;;;;;;;;x
#Size Tags;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#############State Nations (Pero Credit)##############;;;;;;;;;;;;;;x
ZT1;佈Tiny State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬Less than 100k POPs\n即1870 - 1900 劬Less than 150k POPs\n即1900+ 劬Less than 200k POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬4% Warscore\n即Acquire State: 劬12% Warscore\n即Demand Concession: 劬8% Warscore\n即Place in the Sun: 劬4% Warscore\n即Free Peoples: 劬12% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
ZS1;佈Small State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬100k to 400k POPs\n即1870 - 1900 劬150k to 600k POPs\n即1900+ 劬200k to 800k POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬12% Warscore\n即Acquire State: 劬24% Warscore\n即Demand Concession: 劬16% Warscore\n即Place in the Sun: 劬8% Warscore\n即Free Peoples: 劬24% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
ZM1;佈Medium State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬400k to 700k POPs\n即1870 - 1900 劬600k to 1M POPs\n即1900+ 劬800k to 1.4M POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬16% Warscore\n即Acquire State: 劬32% Warscore\n即Demand Concession: 劬24% Warscore\n即Place in the Sun: 劬12% Warscore\n即Free Peoples: 劬32% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
ZL1;佈Large State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬700k to 1M POPs\n即1870 - 1900 劬1M to 1.5M POPs\n即1900+ 劬1.4M to 2M POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬24% Warscore\n即Acquire State: 劬48% Warscore\n即Demand Concession: 劬32% Warscore\n即Place in the Sun: 劬16% Warscore\n即Free Peoples: 劬48% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
ZH1;佈Huge State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬Greater than 1M POPs\n即1870 - 1900 劬Greater than 1.5M POPs\n即1900+ 劬Greater than 2M POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬32% Warscore\n即Acquire State: 劬64% Warscore\n即Demand Concession: 劬40% Warscore\n即Place in the Sun: 劬20% Warscore\n即Free Peoples: 劬64% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
ZT2;佈Tiny State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬Less than 100k POPs\n即1870 - 1900 劬Less than 150k POPs\n即1900+ 劬Less than 200k POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬4% Warscore\n即Acquire State: 劬12% Warscore\n即Demand Concession: 劬8% Warscore\n即Place in the Sun: 劬4% Warscore\n即Free Peoples: 劬12% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
ZS2;佈Small State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬100k to 400k POPs\n即1870 - 1900 劬150k to 600k POPs\n即1900+ 劬200k to 800k POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬12% Warscore\n即Acquire State: 劬24% Warscore\n即Demand Concession: 劬16% Warscore\n即Place in the Sun: 劬8% Warscore\n即Free Peoples: 劬24% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
ZM2;佈Medium State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬400k to 700k POPs\n即1870 - 1900 劬600k to 1M POPs\n即1900+ 劬800k to 1.4M POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬16% Warscore\n即Acquire State: 劬32% Warscore\n即Demand Concession: 劬24% Warscore\n即Place in the Sun: 劬12% Warscore\n即Free Peoples: 劬32% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
ZL2;佈Large State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬700k to 1M POPs\n即1870 - 1900 劬1M to 1.5M POPs\n即1900+ 劬1.4M to 2M POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬24% Warscore\n即Acquire State: 劬48% Warscore\n即Demand Concession: 劬32% Warscore\n即Place in the Sun: 劬16% Warscore\n即Free Peoples: 劬48% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
ZH2;佈Huge State Flag\n劬This province is in a state that meets the following criteria:\n即1836 - 1870 劬Greater than 1M POPs\n即1870 - 1900 劬Greater than 1.5M POPs\n即1900+ 劬Greater than 2M POPs\n\n刪Warscore Costs (0.5x For Great Wars)\n劬This province is in a state that has the following costs:\n即Acquire Core: 劬32% Warscore\n即Acquire State: 劬64% Warscore\n即Demand Concession: 劬40% Warscore\n即Place in the Sun: 劬20% Warscore\n即Free Peoples: 劬64% Warscore\n即Take Capital: 劬66% Warscore;;;;;;;;;;;;;x
